31_2	(3, 5, 10)	1.651535
31_3	(3, 5, 9)	0.17919064
31_4	(2, 4, 9)	0.48365498
31_5	(3, 5, 10)	1.1130958
31_6	(3, 5, 10)	2.5662189
31_7	(3, 5, 10)	0.9241104
31_8	(3, 5, 10)	1.0026326
31_9	(3, 5, 10)	1.4446149
32_2	(3, 5, 10)	1.5555196
32_3	(3, 5, 10)	0.100862026
32_4	(3, 5, 10)	0.5681596
32_5	(2, 4, 9)	0.223845
32_6	(0, 1, 2)	-2.393426
32_7	(3, 5, 9)	-0.5362525
32_8	(3, 5, 10)	-0.43873072
32_9	(3, 5, 10)	-0.60334873
32_10	(3, 3, 7)	-0.610919
32_11	(3, 5, 10)	0.117544174
33_2	(3, 5, 10)	3.2946944
33_3	(3, 5, 10)	1.202219
33_4	(3, 5, 10)	1.7482369
33_5	(3, 5, 10)	1.9596591
33_6	(3, 5, 10)	1.8681881
33_7	(3, 5, 10)	2.0765169
33_8	(3, 5, 10)	2.2262259
33_9	(2, 4, 9)	1.5094719
33_10	(0, 0, 0)	-2.681201
34_2	(3, 5, 10)	2.319852
34_3	(3, 5, 10)	2.3863223
34_4	(3, 5, 10)	1.7481413
34_5	(3, 5, 10)	2.5338466
34_6	(3, 5, 10)	1.5383697
34_7	(3, 5, 10)	1.697566
34_8	(3, 5, 10)	1.3856955
34_9	(3, 5, 10)	2.2080107
37_2	(3, 5, 10)	3.8780713
37_3	(3, 5, 10)	2.5549176
37_4	(3, 5, 10)	2.5542161
37_5	(3, 5, 10)	2.9434633
37_6	(0, 0, 1)	-0.6509905
37_7	(0, 0, 1)	-1.1571298
37_8	(2, 3, 6)	1.3298812
37_9	(0, 0, 1)	-0.6976805
37_10	(0, 1, 1)	-0.6107278
37_11	(1, 1, 1)	-0.54022264
37_12	(0, 0, 0)	-0.51537704
40_2	(3, 5, 10)	1.2640362
40_3	(3, 3, 6)	0.9747343
40_4	(3, 5, 10)	0.51341486
40_5	(2, 4, 7)	0.13493681
40_6	(3, 5, 8)	0.57087994
40_7	(3, 5, 9)	-0.12298298
40_8	(0, 0, 0)	-1.1799355
40_9	(3, 5, 10)	-0.7878952
40_10	(3, 5, 10)	0.18619633
49_2	(3, 5, 10)	2.2797813
49_3	(2, 4, 8)	-0.13326311
49_4	(3, 5, 10)	1.3259258
49_5	(3, 4, 8)	-0.73800135
49_6	(3, 5, 9)	0.060510635
49_7	(3, 5, 10)	0.303751
49_8	(3, 5, 10)	1.2379546
49_9	(3, 3, 4)	0.24535608
49_10	(2, 2, 3)	0.13126707
50_2	(0, 1, 1)	-0.176404
50_3	(2, 4, 8)	0.87573004
50_4	(1, 1, 3)	-0.5120735
50_5	(0, 0, 0)	-2.8609042
50_6	(0, 0, 0)	-2.446056
50_7	(1, 2, 3)	-2.7122884
50_8	(0, 0, 1)	-2.7657075
50_9	(0, 1, 3)	-2.617599
50_10	(0, 0, 0)	-2.578939
54_2	(3, 5, 10)	0.93971205
54_3	(0, 0, 1)	-1.1368728
54_4	(3, 3, 4)	0.19126034
54_5	(3, 5, 10)	1.2887206
