31_2	3.9169831
31_3	5.3893275
31_4	5.084863
31_5	4.4554224
31_6	3.0022993
31_7	4.6444077
31_8	4.5658855
31_9	4.1239033
32_2	3.905776
32_3	5.3604336
32_4	4.893136
32_5	5.2374506
32_6	7.8547215
32_7	5.997548
32_8	5.9000263
32_9	6.0646443
32_10	6.0722146
32_11	5.3437514
33_2	2.2506719
33_3	4.3431473
33_4	3.7971294
33_5	3.5857072
33_6	3.6771781
33_7	3.4688494
33_8	3.3191404
33_9	4.0358944
33_10	8.226567
34_2	3.502506
34_3	3.4360359
34_4	4.074217
34_5	3.2885115
34_6	4.2839885
34_7	4.124792
34_8	4.4366627
34_9	3.6143475
37_2	2.6533976
37_3	3.9765513
37_4	3.9772527
37_5	3.5880055
37_6	7.1824594
37_7	7.6885986
37_8	5.2015877
37_9	7.2291493
37_10	7.1421967
37_11	7.0716915
37_12	7.046846
40_2	4.4159546
40_3	4.7052565
40_4	5.166576
40_5	5.545054
40_6	5.109111
40_7	5.8029737
40_8	6.859926
40_9	6.467886
40_10	5.4937944
49_2	3.5109725
49_3	5.924017
49_4	4.464828
49_5	6.528755
49_6	5.730243
49_7	5.487003
49_8	4.552799
49_9	5.5453978
49_10	5.659487
50_2	5.90025
50_3	4.848116
50_4	6.2359195
50_5	8.58475
50_6	8.169902
50_7	8.436134
50_8	8.489553
50_9	8.341445
50_10	8.302785
54_2	4.9131866
54_3	6.9897714
54_4	5.6616383
54_5	4.564178
54_6	4.9790955
54_7	4.820249
54_8	7.712495
54_9	7.1268535
56_2	3.7157674
56_3	5.650293
56_4	4.8060966
56_5	4.4516516
56_6	4.9007697
56_7	7.5236673
56_8	5.175514
58_2	3.4050937
58_3	4.4763384
58_4	4.6759033
58_5	3.8223155
58_6	4.693069
58_7	7.2026544
58_8	6.5311646
59_2	6.047142
59_3	9.3033285
59_4	8.21212
59_5	8.57647
59_6	8.521701
59_7	7.333908
59_8	5.9087477
61_2	5.04818
61_3	4.6275
61_4	5.629565
61_5	6.334507
61_6	8.022303
61_7	8.043416
61_8	8.006644
61_9	6.3690805
67_2	4.197474
67_3	4.65744
67_4	5.989513
67_5	6.0340652
67_6	6.161445
67_7	6.8377323
67_8	5.8771634
67_9	6.326488
67_10	6.439489
67_11	7.827849
68_2	4.383923
68_3	2.801709
68_4	7.8346553
68_5	7.512441
68_6	7.1678076
68_7	7.7191334
68_8	7.6743336
68_9	3.6370885
68_10	6.508825
68_11	6.56507
69_2	4.6701317
69_3	7.275424
69_4	6.673742
69_5	6.433653
69_6	6.0773582
69_7	6.9084454
69_8	6.7169147
69_9	5.877363
69_10	6.276877
75_2	5.5948677
75_3	5.48972
75_4	6.0108185
75_5	6.1895156
75_6	5.7318606
75_7	6.590467
75_8	5.1217337
75_9	5.593577
75_10	5.901625
77_2	5.463321
77_3	5.2523
77_4	6.8380504
77_5	7.3270183
77_6	8.173251
77_7	7.6522236
77_8	7.0303597
77_9	6.9992943
77_10	6.4689765
78_2	4.2332077
78_3	4.229419
78_4	5.0662317
78_5	4.3085694
78_6	4.203802
78_7	6.930045
78_8	5.2373543
78_9	7.688931
78_10	6.4106407
79_2	6.6443434
79_3	5.350125
79_4	6.4761324
79_5	7.7698135
79_6	5.716599
79_7	6.2192254
79_8	7.3189983
79_9	7.4215274
