31_2	[3, 5, 10]	[]	1.0206804
31_3	[3, 5, 10]	[]	-0.45166397 UPDATE 
31_4	[3, 5, 10]	[]	0.6879182
31_5	[3, 5, 10]	[]	0.48224115
31_6	[3, 5, 10]	[]	1.9353642
31_7	[3, 5, 10]	[]	0.2932558
31_8	[2, 4, 8]	[]	0.371778
31_9	[1, 2, 6]	[]	0.8137603
32_2	[2, 3, 6]	[]	0.8482275
32_3	[3, 5, 10]	[]	-0.60643005 UPDATE 
32_4	[2, 4, 9]	[]	0.09998083
32_5	[3, 5, 10]	[]	-0.16005373 UPDATE 
32_6	[3, 5, 10]	[]	-3.3034005 UPDATE 
32_7	[3, 5, 10]	[]	-1.9463749 UPDATE 
32_8	[3, 5, 10]	[]	1.4691114
32_9	[3, 5, 10]	[]	2.1231089
32_10	[3, 5, 10]	[]	2.2972631
32_11	[3, 5, 10]	[]	1.184114
33_2	[3, 5, 10]	[]	3.0372038
33_3	[3, 5, 10]	[]	0.9447284
33_4	[3, 5, 10]	[]	1.4907463
33_5	[3, 5, 10]	[]	1.7021685
33_6	[3, 5, 10]	[]	1.6106975
33_7	[3, 5, 10]	[]	1.8190262
33_8	[3, 5, 10]	[]	1.9687352
33_9	[2, 4, 9]	[]	1.2519813
33_10	[3, 5, 10]	[]	-2.9386916 UPDATE 
34_2	[3, 5, 10]	[]	1.9328716
34_3	[3, 5, 10]	[]	1.9993417
34_4	[2, 3, 7]	[]	1.3611608
34_5	[3, 5, 10]	[]	2.146866
34_6	[3, 5, 9]	[]	1.1513891
34_7	[3, 5, 10]	[]	1.3105855
34_8	[3, 5, 9]	[]	0.9987149
34_9	[3, 5, 10]	[]	1.8210301
37_2	[3, 5, 10]	[]	3.4780412
37_3	[3, 5, 10]	[]	2.1548874
37_4	[3, 5, 10]	[]	2.154186
37_5	[3, 5, 10]	[]	2.5434332
37_6	[3, 5, 10]	[]	-1.0510206 UPDATE 
37_7	[3, 5, 10]	[]	2.3220706
37_8	[3, 5, 10]	[]	0.92985106
37_9	[2, 5, 10]	[]	-0.8958144 UPDATE 
37_10	[3, 5, 8]	[]	2.3080635
37_11	[3, 5, 10]	[]	1.8111792
37_12	[1, 3, 8]	[]	2.1455777
40_2	[3, 5, 10]	[]	0.75363636
40_3	[2, 2, 5]	[]	0.4643345
40_4	[2, 4, 9]	[]	0.0030150414
40_5	[3, 5, 10]	[]	-0.375463 UPDATE 
40_6	[1, 1, 3]	[]	0.060480118
40_7	[3, 5, 10]	[]	-0.8717437 UPDATE 
40_8	[3, 5, 10]	[]	-0.0749383 UPDATE 
40_9	[3, 5, 10]	[]	-1.4141932 UPDATE 
40_10	[3, 5, 10]	[]	1.9106278
49_2	[3, 5, 10]	[]	1.8008995
49_3	[3, 5, 10]	[]	-0.61214495 UPDATE 
49_4	[3, 5, 10]	[]	0.847044
49_5	[3, 4, 8]	[]	1.2061553
49_6	[3, 5, 10]	[]	-0.07499695 UPDATE 
49_7	[3, 5, 10]	[]	0.06580925
49_8	[3, 5, 10]	[]	0.7590728
49_9	[3, 5, 10]	[]	-1.5596175 UPDATE 
49_10	[3, 5, 6]	[]	1.4833508
50_2	[3, 5, 10]	[]	-0.64939547 UPDATE 
50_3	[3, 5, 10]	[]	0.40273857
50_4	[3, 5, 10]	[]	-0.2872429 UPDATE 
50_5	[3, 5, 10]	[]	-2.5360951 UPDATE 
50_6	[3, 5, 10]	[]	1.2037897
50_7	[3, 5, 10]	[]	-3.129098 UPDATE 
50_8	[3, 5, 10]	[]	1.9892955
50_9	[3, 5, 10]	[]	3.2026372
50_10	[3, 5, 9]	[]	1.5208039
54_2	[3, 4, 7]	[]	0.49061632
54_3	[3, 5, 10]	[]	-1.5859685 UPDATE 
54_4	[3, 5, 10]	[]	-1.3362207 UPDATE 
54_5	[3, 5, 10]	[]	0.8396249
54_6	[0, 0, 3]	[]	0.4247074
54_7	[3, 5, 9]	[]	0.5835538
54_8	[3, 5, 10]	[]	-2.4139261 UPDATE 
54_9	[2, 4, 9]	[]	2.633646
56_2	[3, 5, 10]	[]	1.8104577
56_3	[3, 5, 10]	[]	-0.12406778 UPDATE 
56_4	[2, 3, 8]	[]	0.72012854
56_5	[1, 3, 8]	[]	1.0745735
56_6	[3, 5, 10]	[]	0.6254554
56_7	[3, 5, 10]	[]	-1.5362206 UPDATE 
56_8	[3, 5, 10]	[]	0.35071087
58_2	[3, 5, 10]	[]	2.3687348
58_3	[3, 5, 10]	[]	1.2974901
58_4	[3, 5, 8]	[]	1.0979252
58_5	[3, 5, 10]	[]	1.951513
58_6	[1, 3, 6]	[]	1.0807595
58_7	[3, 5, 10]	[]	-1.4288259 UPDATE 
58_8	[3, 5, 9]	[]	1.3455739
59_2	[3, 5, 10]	[]	-0.093366146 UPDATE 
59_3	[3, 5, 10]	[]	-3.803977 UPDATE 
59_4	[3, 5, 10]	[]	2.1379118
59_5	[3, 5, 10]	[]	-2.758987 UPDATE 
59_6	[3, 5, 10]	[]	1.3506236
59_7	[3, 5, 10]	[]	-3.19764 UPDATE 
59_8	[3, 5, 10]	[]	0.04502821
61_2	[3, 5, 10]	[]	0.8915796
61_3	[3, 5, 9]	[]	1.3122597
61_4	[2, 2, 4]	[]	0.31019497
61_5	[3, 5, 10]	[]	-0.39474726 UPDATE 
61_6	[3, 5, 10]	[]	-2.3864589 UPDATE 
61_7	[3, 5, 10]	[]	-0.040914536 UPDATE 
61_8	[3, 4, 9]	[]	0.625288
61_9	[3, 5, 10]	[]	0.44655466
67_2	[3, 5, 9]	[]	0.8995795
67_3	[2, 4, 6]	[]	0.43961334
67_4	[3, 5, 10]	[]	-0.8924594 UPDATE 
67_5	[3, 5, 10]	[]	-1.8074532 UPDATE 
67_6	[3, 5, 10]	[]	0.86810493
67_7	[3, 5, 10]	[]	-0.73559904 UPDATE 
67_8	[3, 5, 10]	[]	0.8768754
67_9	[3, 5, 10]	[]	0.116996765
67_10	[3, 5, 10]	[]	-1.4583902 UPDATE 
67_11	[3, 5, 10]	[]	-1.9666796 UPDATE 
68_2	[3, 5, 7]	[]	1.3078351
68_3	[3, 5, 10]	[]	2.8900492
68_4	[3, 5, 10]	[]	-2.1428971 UPDATE 
68_5	[3, 5, 10]	[]	-3.0338864 UPDATE 
68_6	[3, 5, 8]	[]	0.84575033
68_7	[3, 5, 10]	[]	-1.610127 UPDATE 
68_8	[3, 5, 10]	[]	0.36534405
68_9	[3, 5, 10]	[]	2.0546696
68_10	[3, 5, 10]	[]	-1.4248662 UPDATE 
68_11	[3, 5, 10]	[]	1.3249865
69_2	[3, 5, 10]	[]	0.5291753
69_3	[3, 5, 10]	[]	-2.076117 UPDATE 
69_4	[2, 4, 8]	[]	0.14257145
69_5	[3, 5, 10]	[]	-0.48780203 UPDATE 
69_6	[3, 5, 10]	[]	1.5037189
69_7	[3, 5, 10]	[]	-0.0048322678 UPDATE 
69_8	[3, 5, 10]	[]	0.27477694
69_9	[3, 4, 10]	[]	0.17581701
69_10	[3, 5, 10]	[]	0.62918043
75_2	[3, 5, 10]	[]	-0.08774519 UPDATE 
75_3	[3, 5, 10]	[]	0.017402649
75_4	[3, 5, 10]	[]	1.2059002
75_5	[0, 1, 6]	[]	0.19868755
75_6	[3, 5, 10]	[]	-1.8747005 UPDATE 
75_7	[1, 2, 2]	[]	0.28198385
75_8	[3, 5, 8]	[]	0.38538885
75_9	[2, 4, 8]	[]	0.16254187
75_10	[3, 5, 10]	[]	-0.599998 UPDATE 
77_2	[3, 5, 10]	[]	-0.1873622 UPDATE 
77_3	[1, 3, 7]	[]	0.02365923
77_4	[3, 5, 10]	[]	-1.5683932 UPDATE 
77_5	[3, 5, 10]	[]	-1.9630866 UPDATE 
77_6	[3, 5, 10]	[]	-2.5100732 UPDATE 
77_7	[3, 5, 10]	[]	0.5150137
77_8	[3, 5, 10]	[]	-2.5302248 UPDATE 
77_9	[3, 5, 10]	[]	2.3119712
77_10	[3, 5, 10]	[]	-0.95542765 UPDATE 
78_2	[3, 5, 10]	[]	0.63678503
78_3	[3, 5, 10]	[]	0.6405735
78_4	[3, 5, 10]	[]	-0.196239 UPDATE 
78_5	[3, 5, 10]	[]	0.5614233
78_6	[3, 5, 10]	[]	0.6661906
78_7	[3, 5, 10]	[]	-1.6589746 UPDATE 
78_8	[3, 5, 10]	[]	1.1258845
78_9	[3, 5, 10]	[]	0.18232393
78_10	[3, 5, 10]	[]	-1.4565454 UPDATE 
79_2	[3, 5, 10]	[]	-1.795052 UPDATE 
79_3	[3, 5, 10]	[]	-0.7391014 UPDATE 
79_4	[3, 5, 10]	[]	-1.9147725 UPDATE 
79_5	[3, 5, 10]	[]	0.44497442
79_6	[3, 5, 10]	[]	-1.4962645 UPDATE 
79_7	[3, 5, 10]	[]	2.082678
79_8	[3, 5, 9]	[]	0.4909296
79_9	[3, 5, 10]	[]	-1.512106 UPDATE 
