31_2	(3, 5, 10)	1.1922746
31_3	(0, 1, 4)	-0.28006983
31_4	(0, 1, 3)	0.024394512
31_5	(0, 0, 3)	0.6538353
31_6	(3, 5, 10)	2.1069584
31_7	(3, 5, 10)	0.46484995
31_8	(3, 5, 10)	0.54337215
31_9	(2, 3, 7)	0.9853544
32_2	(3, 5, 10)	1.0498905
32_3	(3, 4, 7)	-0.40476704
32_4	(3, 3, 8)	0.06253052
32_5	(0, 0, 1)	-0.28178406
32_6	(0, 0, 0)	-2.899055
32_7	(1, 3, 6)	-1.0418816
32_8	(1, 2, 4)	-0.9443598
32_9	(0, 2, 3)	-1.1089778
32_10	(1, 1, 2)	-1.1165481
32_11	(3, 4, 7)	-0.3880849
33_2	(3, 5, 10)	3.1122327
33_3	(3, 5, 10)	1.0197573
33_4	(3, 5, 10)	1.5657752
33_5	(3, 5, 10)	1.7771974
33_6	(3, 5, 10)	1.6857264
33_7	(3, 5, 10)	1.8940551
33_8	(3, 5, 10)	2.043764
33_9	(2, 4, 9)	1.3270102
33_10	(0, 0, 0)	-2.8636627
34_2	(3, 5, 10)	2.0680525
34_3	(3, 5, 10)	2.1345227
34_4	(3, 4, 9)	1.4963417
34_5	(3, 5, 10)	2.282047
34_6	(3, 5, 9)	1.2865701
34_7	(3, 5, 10)	1.4457664
34_8	(3, 5, 9)	1.1338959
34_9	(3, 5, 10)	1.9562111
37_2	(3, 5, 10)	3.608572
37_3	(3, 5, 10)	2.2854183
37_4	(3, 5, 10)	2.2847168
37_5	(3, 5, 10)	2.673964
37_6	(0, 0, 1)	-0.9204898
37_7	(0, 0, 1)	-1.4266291
37_8	(2, 3, 4)	1.0603819
37_9	(0, 0, 0)	-0.9671798
37_10	(0, 0, 0)	-0.8802271
37_11	(1, 1, 1)	-0.80972195
37_12	(0, 0, 0)	-0.78487635
40_2	(3, 5, 10)	0.89891815
40_3	(2, 2, 5)	0.6096163
40_4	(2, 4, 9)	0.14829683
40_5	(0, 2, 2)	-0.23018122
40_6	(1, 1, 4)	0.20576191
40_7	(1, 2, 5)	-0.488101
40_8	(0, 0, 0)	-1.5450535
40_9	(0, 1, 3)	-1.1530132
40_10	(2, 4, 7)	-0.1789217
49_2	(3, 5, 10)	1.9733472
49_3	(1, 2, 4)	-0.43969727
49_4	(3, 5, 10)	1.0194917
49_5	(1, 2, 6)	-1.0444355
49_6	(0, 0, 1)	-0.24592352
49_7	(3, 5, 9)	-0.0026831627
49_8	(3, 5, 10)	0.93152046
49_9	(3, 3, 4)	-0.06107807
49_10	(2, 2, 3)	-0.17516708
50_2	(0, 0, 0)	-0.5068793
50_3	(2, 3, 7)	0.5452547
50_4	(0, 0, 0)	-0.84254885
50_5	(0, 0, 0)	-3.1913795
50_6	(0, 0, 0)	-2.7765312
50_7	(0, 0, 0)	-3.0427637
50_8	(0, 0, 0)	-3.0961828
50_9	(0, 0, 1)	-2.9480743
50_10	(0, 0, 0)	-2.9094143
54_2	(3, 4, 9)	0.63962936
54_3	(0, 0, 0)	-1.4369555
54_4	(3, 3, 3)	-0.108822346
54_5	(3, 5, 10)	0.9886379
54_6	(0, 0, 3)	0.57372046
54_7	(3, 5, 10)	0.73256683
54_8	(0, 0, 0)	-2.159679
54_9	(0, 1, 1)	-1.5740376
56_2	(3, 5, 10)	2.0608997
56_3	(2, 3, 8)	0.12637424
56_4	(3, 5, 10)	0.97057056
56_5	(3, 5, 10)	1.3250155
56_6	(3, 5, 10)	0.8758974
56_7	(0, 0, 0)	-1.7470002
56_8	(3, 5, 10)	0.6011529
58_2	(3, 5, 10)	2.483809
58_3	(3, 5, 10)	1.4125643
58_4	(3, 5, 8)	1.2129993
58_5	(3, 5, 10)	2.0665872
58_6	(1, 3, 8)	1.1958337
58_7	(1, 1, 1)	-1.3137517
58_8	(1, 1, 1)	-0.642262
59_2	(0, 0, 1)	0.018852234
59_3	(0, 0, 0)	-3.2373343
59_4	(0, 0, 0)	-2.1461258
59_5	(0, 0, 0)	-2.510476
59_6	(0, 0, 0)	-2.4557066
59_7	(0, 0, 0)	-1.2679138
59_8	(3, 5, 10)	0.15724659
61_2	(3, 5, 10)	1.1394181
61_3	(3, 5, 10)	1.5600982
61_4	(3, 3, 6)	0.55803347
61_5	(1, 1, 1)	-0.14690876
61_6	(0, 0, 0)	-1.8347044
61_7	(0, 0, 0)	-1.8558178
61_8	(0, 0, 0)	-1.819046
61_9	(3, 4, 4)	-0.18148232
67_2	(3, 5, 10)	1.0589414
67_3	(3, 5, 9)	0.5989752
67_4	(0, 0, 1)	-0.73309755
67_5	(1, 2, 4)	-0.7776499
67_6	(0, 0, 0)	-0.9050298
67_7	(0, 0, 1)	-1.581317
67_8	(0, 0, 2)	-0.62074804
67_9	(0, 0, 0)	-1.0700727
67_10	(0, 0, 0)	-1.1830735
67_11	(0, 0, 0)	-2.5714335
68_2	(3, 5, 7)	1.4326105
68_3	(3, 5, 10)	3.0148246
68_4	(0, 0, 0)	-2.0181217
68_5	(1, 2, 4)	-1.6959076
68_6	(1, 3, 4)	-1.351274
68_7	(0, 0, 0)	-1.9025998
68_8	(0, 0, 0)	-1.8578
68_9	(3, 5, 10)	2.179445
68_10	(2, 4, 7)	-0.69229126
68_11	(1, 3, 3)	-0.7485366
69_2	(3, 6, 10)	0.6933098
69_3	(0, 0, 0)	-1.9119825
69_4	(0, 0, 0)	-1.3103004
69_5	(0, 0, 0)	-1.0702114
